Cargo,GRUPO EMPRESA,Matricula,Idade,Estado,Classif. Salário,Situação,Tempo de Empresa,Vale Aliment.,Vale Refei.,Vale Transp.,Qtd. Dependentes,Conv. Médico,Conv. Odonto,Qtd. Promoções,Predição
ARTIFICE CIVIL,EMPRESA C,C02194,42,SP,Médio,0,"0,89","0,0","1,0","0,0","1,0","0,0","0,0","0,0",Será desligado
MECANICO JR,EMPRESA C,C02810,42,SP,Médio,0,"0,89","0,0","1,0","0,0","1,0","0,0","0,0","0,0",Será desligado
LIDER DE MANUTENCAO,EMPRESA C,C00570,42,RJ,Médio,0,"0,94","1,0","1,0","0,0","0,0","1,0","1,0","0,0",Será desligado
ARTIFICE CIVIL,EMPRESA C,C00637,42,SP,Médio,0,1,"0,0","1,0","1,0","0,0","0,0","1,0","0,0",Será desligado
AUX SERV GERAIS,EMPRESA B,B02035,42,SP,Baixo,0,"1,02","0,0","1,0","1,0","0,0","0,0","0,0","0,0",Será desligado
CALDEIREIRO PL,EMPRESA A,A01232,42,SP,Médio,0,"1,04","0,0","1,0","1,0","0,0","1,0","0,0","1,0",Será desligado
TELHADISTA,EMPRESA C,C02171,42,SP,Médio,0,"1,05","0,0","1,0","0,0","2,0","0,0","0,0","0,0",Será desligado
SUPERVISOR,EMPRESA C,C00737,42,SP,Médio,0,"1,08","0,0","1,0","0,0","2,0","1,0","1,0","0,0",Será desligado
JARDINEIRO,EMPRESA B,B03464,42,SP,Médio,0,"1,11","1,0","1,0","0,0","0,0","0,0","0,0","0,0",Será desligado
MECANICO JR,EMPRESA C,C02066,42,SP,Médio,0,"1,14","0,0","1,0","0,0","0,0","0,0","0,0","0,0",Será desligado
ARTIFICE CIVIL,EMPRESA C,C00190,42,BA,Médio,0,"1,27","0,0","1,0","1,0","0,0","0,0","0,0","0,0",Será desligado
LIDER DE MANUTENCAO,EMPRESA C,C02767,42,SC,Alto,0,"1,27","0,0","1,0","0,0","4,0","0,0","0,0","0,0",Será desligado
SUPERVISOR,EMPRESA B,B00720,42,SP,Médio,0,"1,3","1,0","1,0","0,0","0,0","0,0","0,0","3,0",Será desligado
AJUDANTE LIMPEZA,EMPRESA B,B03106,42,SP,Médio,0,"1,32","1,0","1,0","1,0","1,0","0,0","0,0","0,0",Será desligado
ELETR. MANUTENCAO JR,EMPRESA C,C00555,42,SP,Médio,0,"1,36","0,0","1,0","0,0","0,0","0,0","0,0","1,0",Será desligado
ELETROMECANICO PL,EMPRESA C,C00766,42,SP,Médio,0,"1,36","0,0","1,0","1,0","3,0","1,0","0,0","1,0",Será desligado
MECANICO JR,EMPRESA C,C00799,42,SP,Médio,0,"1,37","0,0","1,0","1,0","1,0","0,0","0,0","0,0",Será desligado
ELETROMECANICO PL,EMPRESA C,C03086,42,SP,Alto,0,"1,53","0,0","1,0","0,0","0,0","0,0","0,0","0,0",Será desligado
