Cargo,GRUPO EMPRESA,Matricula,Idade,Estado,Classif. Salário,Situação,Tempo de Empresa,Vale Aliment.,Vale Refei.,Vale Transp.,Qtd. Dependentes,Conv. Médico,Conv. Odonto,Qtd. Promoções
AUX SERV GERAIS,EMPRESA B,B05826,39,RS,Alto,1,"1,54","0,0","0,0","0,0","1,0","1,0","0,0","1,0"
ELETR. MANUTENCAO PL,EMPRESA A,A08927,39,SP,Alto,1,"1,54","0,0","0,0","0,0","1,0","0,0","1,0","0,0"
OFICIAL DE MANUTENCAO,EMPRESA A,A07352,39,TO,Alto,1,"1,54","0,0","0,0","0,0","4,0","1,0","1,0","2,0"
AUX SERV GERAIS,EMPRESA B,B05814,39,PE,Alto,1,"1,56","0,0","0,0","0,0","2,0","0,0","0,0","0,0"
MECANICO JR,EMPRESA A,A07222,39,MG,Alto,1,"1,6","1,0","0,0","0,0","2,0","1,0","1,0","0,0"
ENCANADOR,EMPRESA A,A07215,39,SP,Alto,1,"1,6","0,0","0,0","1,0","2,0","0,0","1,0","0,0"
AUX SERV GERAIS,EMPRESA A,A08784,39,SP,Alto,1,"1,65","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
SUPERVISOR PROJ SR,EMPRESA A,A07046,39,SP,Alto,1,"1,67","0,0","0,0","0,0","0,0","1,0","1,0","0,0"
AJUDANTE LIMPEZA,EMPRESA B,B05682,39,SP,Alto,1,"1,74","0,0","0,0","1,0","0,0","0,0","0,0","0,0"
MECANICO ESPECIALIST,EMPRESA A,A06879,39,MT,Alto,1,"1,77","0,0","0,0","0,0","0,0","1,0","1,0","1,0"
TEC. ELET. MANUT SR,EMPRESA A,A06702,39,MG,Alto,1,"1,85","0,0","0,0","0,0","3,0","1,0","0,0","0,0"
ANALISTASISTA CONTABIL PL,EMPRESA A,A06589,39,SP,Baixo,1,"1,9","0,0","0,0","0,0","2,0","0,0","0,0","0,0"
AJUDANTE LIMPEZA,EMPRESA B,B05423,39,MG,Alto,1,"1,98","0,0","0,0","0,0","3,0","1,0","0,0","0,0"
MECANICO PL,EMPRESA A,A06413,39,SP,Alto,1,"2,02","0,0","0,0","0,0","3,0","1,0","0,0","2,0"
