Cargo,GRUPO EMPRESA,Matricula,Idade,Estado,Classif. Salário,Situação,Tempo de Empresa,Vale Aliment.,Vale Refei.,Vale Transp.,Qtd. Dependentes,Conv. Médico,Conv. Odonto,Qtd. Promoções
MECANICO REFRIG PL,EMPRESA A,A04079,24,SP,Alto,1,"3,44","1,0","0,0","0,0","1,0","1,0","1,0","1,0"
ASSIST ADM PL,EMPRESA A,A03731,24,RJ,Alto,1,"3,69","1,0","0,0","0,0","0,0","1,0","1,0","1,0"
ANALISTASISTA PLANEJAMENT PL,EMPRESA A,A01309,24,SP,Alto,1,"6,08","0,0","0,0","0,0","0,0","1,0","0,0","5,0"
AJUDANTE DE MECANICO,EMPRESA C,C04007,24,SP,Alto,1,"0,02","0,0","1,0","0,0","0,0","0,0","0,0","0,0"
ANALISTASISTA ADM PL,EMPRESA C,C03986,24,ES,Alto,1,"0,07","0,0","1,0","0,0","0,0","1,0","1,0","0,0"
AUX JARDINAGEM,EMPRESA B,B07171,24,MG,Alto,1,"0,2","1,0","1,0","1,0","0,0","1,0","0,0","0,0"
MECANICO JR,EMPRESA C,C03893,24,SP,Alto,1,"0,25","0,0","1,0","0,0","0,0","0,0","0,0","0,0"
AJUDANTE DE MECANICO,EMPRESA C,C03872,24,SP,Alto,1,"0,3","0,0","1,0","1,0","0,0","0,0","0,0","0,0"
TECNICO MECANICA,EMPRESA A,A10646,24,SP,Alto,1,"0,31","0,0","1,0","0,0","2,0","1,0","1,0","0,0"
TEC EM SEGURANCA PL,EMPRESA C,C03867,24,SP,Alto,1,"0,32","0,0","1,0","0,0","0,0","0,0","0,0","0,0"
TECNICO MECANICA,EMPRESA C,C03825,24,SP,Médio,1,"0,38","0,0","1,0","0,0","1,0","1,0","0,0","0,0"
MECANICO JR,EMPRESA C,C03813,24,SP,Alto,1,"0,39","0,0","1,0","1,0","0,0","0,0","0,0","0,0"
AUX ADM JR,EMPRESA C,C03781,24,SP,Alto,1,"0,43","0,0","1,0","0,0","1,0","0,0","1,0","0,0"
SOLDADOR PL,EMPRESA C,C03749,24,SP,Alto,1,"0,52","0,0","1,0","1,0","1,0","0,0","0,0","0,0"
SOLDADOR PL,EMPRESA C,C03653,24,SP,Alto,1,"0,63","0,0","1,0","0,0","2,0","0,0","1,0","0,0"
AJUDANTE DE MECANICO,EMPRESA C,C03644,24,SP,Alto,1,"0,64","0,0","1,0","0,0","0,0","1,0","1,0","1,0"
TELHADISTA,EMPRESA C,C03609,24,SP,Alto,1,"0,72","0,0","1,0","0,0","0,0","0,0","0,0","0,0"
ASSIST ADM PL,EMPRESA C,C03578,24,SP,Médio,1,"0,79","0,0","1,0","1,0","1,0","1,0","1,0","0,0"
TEC PLANEJA PL,EMPRESA C,C03489,24,SP,Médio,1,"1,1","0,0","1,0","0,0","0,0","0,0","1,0","0,0"
AUX ALMOXARIFE,EMPRESA A,A07595,24,SP,Alto,1,"1,45","1,0","1,0","1,0","1,0","0,0","1,0","0,0"
OFICIAL DE MANUTENCAO,EMPRESA C,C03229,24,SP,Alto,1,"1,56","0,0","1,0","0,0","1,0","0,0","1,0","0,0"
JARDINEIRO,EMPRESA B,B05457,24,SP,Alto,1,"1,95","1,0","1,0","0,0","0,0","0,0","0,0","1,0"
AUX SERV GERAIS,EMPRESA B,B03954,24,SP,Alto,1,"3,44","0,0","1,0","0,0","0,0","0,0","0,0","0,0"
LIDER DE LIMPEZA,EMPRESA B,B02925,24,SP,Alto,1,"4,43","1,0","1,0","0,0","0,0","0,0","1,0","1,0"
SOLDADOR,EMPRESA A,A11611,25,MG,Alto,1,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0"
TEC EM SEGURANCA PL,EMPRESA A,A11555,25,SP,Alto,1,"0,01","0,0","0,0","0,0","0,0","1,0","1,0","0,0"
AUX SERV GERAIS,EMPRESA B,B07350,25,TO,Alto,1,"0,01","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
AUX SERV GERAIS,EMPRESA B,B07351,25,TO,Alto,1,"0,01","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
AJUDANTE DE MECANICO,EMPRESA A,A11459,25,SP,Alto,1,"0,05","1,0","0,0","0,0","0,0","1,0","0,0","0,0"
ELETR. MANUTENCAO PL,EMPRESA A,A11460,25,SP,Alto,1,"0,05","0,0","0,0","0,0","1,0","0,0","0,0","0,0"
TEC ELETR E INSTRUM,EMPRESA A,A11443,25,SP,Baixo,1,"0,06","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
AUX SERV GERAIS,EMPRESA B,B07273,25,BA,Alto,1,"0,08","0,0","0,0","0,0","1,0","0,0","0,0","0,0"
AUX SERV GERAIS,EMPRESA A,A11404,25,MG,Alto,1,"0,08","1,0","0,0","0,0","0,0","1,0","1,0","0,0"
CALDEIREIRO PL,EMPRESA A,A11431,25,RS,Baixo,1,"0,08","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
AUX SERV GERAIS,EMPRESA B,B07286,25,SP,Alto,1,"0,08","0,0","0,0","1,0","0,0","0,0","1,0","0,0"
MECANICO JR,EMPRESA A,A11327,25,MG,Médio,1,"0,11","1,0","0,0","0,0","0,0","1,0","0,0","0,0"
MECANICO JR,EMPRESA A,A11331,25,MG,Médio,1,"0,11","1,0","0,0","0,0","0,0","1,0","1,0","0,0"
SOLDADOR,EMPRESA A,A11326,25,MG,Médio,1,"0,11","1,0","0,0","0,0","0,0","1,0","1,0","0,0"
ANALISTAS ADM PROJETOS,EMPRESA A,A11354,25,SP,Médio,1,"0,11","0,0","0,0","0,0","0,0","1,0","1,0","0,0"
ASSISTENTE CONTAB SR,EMPRESA A,A11336,25,SP,Alto,1,"0,11","0,0","0,0","0,0","0,0","1,0","1,0","1,0"
AUX SERV GERAIS,EMPRESA B,B07248,25,MT,Alto,1,"0,12","0,0","0,0","0,0","2,0","0,0","1,0","0,0"
MONTADOR DE ANDAIME,EMPRESA A,A11291,25,MT,Alto,1,"0,12","0,0","0,0","0,0","0,0","0,0","1,0","0,0"
MECANICO JR,EMPRESA A,A11264,25,PE,Alto,1,"0,12","0,0","0,0","0,0","0,0","0,0","1,0","0,0"
AUX SERV GERAIS,EMPRESA A,A11201,25,RJ,Alto,1,"0,15","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
OFICIAL DE MANUTENCAO,EMPRESA A,A11096,25,MG,Alto,1,"0,16","1,0","0,0","0,0","0,0","0,0","0,0","0,0"
ELETR. MANUTENCAO PL,EMPRESA A,A11124,25,SP,Alto,1,"0,16","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
TEC PLANEJA PL,EMPRESA A,A11127,25,SP,Alto,1,"0,16","1,0","0,0","0,0","0,0","1,0","1,0","0,0"
LAVADOR,EMPRESA B,B07215,25,TO,Alto,1,"0,16","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
AJUDANTE LIMPEZA,EMPRESA B,B07204,25,SP,Alto,1,"0,18","0,0","0,0","1,0","0,0","0,0","0,0","0,0"
ARTIFICE CIVIL,EMPRESA A,A11116,25,SP,Alto,1,"0,18","0,0","0,0","0,0","0,0","1,0","1,0","0,0"
ELETR. MANUTENCAO JR,EMPRESA A,A11011,25,MG,Alto,1,"0,2","1,0","0,0","0,0","0,0","1,0","1,0","0,0"
MECANICO JR,EMPRESA A,A10968,25,RJ,Alto,1,"0,2","1,0","0,0","1,0","0,0","1,0","1,0","0,0"
ELETR. MANUTENCAO JR,EMPRESA A,A10956,25,MG,Alto,1,"0,21","1,0","0,0","0,0","0,0","1,0","1,0","0,0"
AJUDANTE DE ELETRICA,EMPRESA A,A10932,25,RJ,Alto,1,"0,22","1,0","0,0","1,0","1,0","1,0","1,0","0,0"
MECANICO AGRICOLA PL,EMPRESA A,A10874,25,PE,Alto,1,"0,24","0,0","0,0","0,0","1,0","1,0","1,0","0,0"
SUPERVISOR PROJ JR,EMPRESA A,A10854,25,BA,Alto,1,"0,25","0,0","0,0","0,0","0,0","1,0","1,0","0,0"
OFICIAL DE MANUTENCAO,EMPRESA A,A10761,25,MG,Alto,1,"0,28","1,0","0,0","0,0","0,0","1,0","0,0","0,0"
AUX SERV GERAIS,EMPRESA B,B07097,25,MT,Alto,1,"0,28","1,0","0,0","0,0","0,0","0,0","1,0","0,0"
TEC EM SEGURANCA JR,EMPRESA A,A10733,25,PA,Alto,1,"0,28","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
ASSISTENTE DE PROJ,EMPRESA A,A10735,25,SP,Alto,1,"0,28","0,0","0,0","0,0","0,0","1,0","1,0","1,0"
MECANICO JR,EMPRESA A,A10651,25,MG,Médio,1,"0,31","1,0","0,0","0,0","0,0","1,0","1,0","0,0"
MECANICO JR,EMPRESA A,A10627,25,MG,Médio,1,"0,32","1,0","0,0","0,0","0,0","1,0","1,0","0,0"
ASSIST ADM PL,EMPRESA A,A10553,25,RJ,Alto,1,"0,34","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
AUX SERV GERAIS,EMPRESA B,B07027,25,SP,Alto,1,"0,36","1,0","0,0","0,0","0,0","0,0","0,0","0,0"
MECANICO JR,EMPRESA A,A10468,25,MG,Alto,1,"0,37","0,0","0,0","0,0","1,0","1,0","0,0","0,0"
TEC EM SEGURANCA JR,EMPRESA A,A10424,25,MG,Médio,1,"0,39","1,0","0,0","0,0","0,0","1,0","0,0","0,0"
MECANICO JR,EMPRESA A,A10388,25,MT,Alto,1,"0,4","1,0","0,0","1,0","0,0","0,0","0,0","0,0"
MECANICO JR,EMPRESA A,A10351,25,MG,Médio,1,"0,41","1,0","0,0","0,0","0,0","1,0","1,0","1,0"
SOLDADOR,EMPRESA A,A10352,25,MG,Médio,1,"0,41","1,0","0,0","0,0","0,0","1,0","0,0","0,0"
PROGRAMADOR MANUT PL,EMPRESA A,A10305,25,MT,Médio,1,"0,43","0,0","0,0","0,0","1,0","1,0","1,0","0,0"
ELETR. MANUTENCAO PL,EMPRESA A,A10216,25,RS,Alto,1,"0,47","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
SUPERVISOR PROJ SR,EMPRESA A,A10157,25,SP,Médio,1,"0,48","0,0","0,0","0,0","0,0","1,0","1,0","1,0"
TEC PLANEJA PL,EMPRESA A,A10175,25,SP,Alto,1,"0,49","0,0","0,0","0,0","1,0","1,0","1,0","0,0"
AUX SERV GERAIS,EMPRESA A,A10084,25,MG,Alto,1,"0,51","1,0","0,0","0,0","1,0","1,0","0,0","0,0"
PROGRAMADOR MANUT PL,EMPRESA A,A10116,25,SP,Alto,1,"0,51","0,0","0,0","0,0","0,0","1,0","1,0","0,0"
ELETRICISTA ESPECIALISTA,EMPRESA A,A10014,25,MT,Alto,1,"0,53","0,0","0,0","0,0","1,0","1,0","1,0","1,0"
AUXILIAR OPERACIONAL,EMPRESA A,A10058,25,RJ,Médio,1,"0,53","1,0","0,0","0,0","0,0","0,0","0,0","0,0"
TEC EM SEGURANCA JR,EMPRESA A,A09999,25,MG,Alto,1,"0,54","1,0","0,0","0,0","0,0","1,0","1,0","0,0"
MECANICO JR,EMPRESA A,A09830,25,SP,Alto,1,"0,62","1,0","0,0","0,0","2,0","1,0","1,0","0,0"
ANALISTASISTA DE DADOS PL,EMPRESA A,A09732,25,TO,Alto,1,"0,64","0,0","0,0","0,0","0,0","1,0","1,0","0,0"
FAXINEIRO INDUSTRIAL,EMPRESA B,B06702,25,BA,Alto,1,"0,73","0,0","0,0","0,0","1,0","1,0","1,0","0,0"
ELETR. MANUTENCAO PL,EMPRESA A,A09497,25,MS,Alto,1,"0,74","0,0","0,0","0,0","1,0","0,0","0,0","0,0"
TEC PLANEJA JR,EMPRESA A,A09460,25,RS,Alto,1,"0,74","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
PINTOR PREDIAL,EMPRESA A,A09439,25,MG,Alto,1,"0,76","0,0","0,0","0,0","0,0","1,0","1,0","1,0"
SOLDADOR,EMPRESA A,A09424,25,MG,Alto,1,"0,76","1,0","0,0","0,0","0,0","1,0","1,0","2,0"
AUX SERV GERAIS,EMPRESA B,B06654,25,MT,Alto,1,"0,77","0,0","0,0","0,0","1,0","0,0","0,0","0,0"
SUPERVISOR PROJ PL,EMPRESA A,A09313,25,PA,Médio,1,"0,79","0,0","0,0","0,0","1,0","1,0","1,0","1,0"
ESPEC DE AUTOMACAO,EMPRESA A,A09236,25,MT,Alto,1,"0,81","0,0","0,0","0,0","1,0","1,0","1,0","0,0"
AUX ADM JR,EMPRESA A,A09157,25,MG,Alto,1,"0,84","1,0","0,0","1,0","2,0","1,0","1,0","0,0"
OPERADOR DE EMPILHAD,EMPRESA A,A09932,25,SP,Alto,1,"0,87","0,0","0,0","0,0","2,0","0,0","0,0","1,0"
MECANICO MONTADOR,EMPRESA A,A09050,25,PR,Alto,1,"0,88","0,0","0,0","0,0","1,0","0,0","1,0","0,0"
AUX SERV GERAIS,EMPRESA B,B06554,25,RJ,Alto,1,"0,91","0,0","0,0","1,0","2,0","1,0","0,0","0,0"
AJUDANTE DE MECANICO,EMPRESA A,A08963,25,SP,Alto,1,"0,91","1,0","0,0","0,0","0,0","1,0","1,0","0,0"
ASSIST ADM PL,EMPRESA A,A08827,25,RJ,Alto,1,"0,95","1,0","0,0","0,0","0,0","0,0","0,0","0,0"
ASSISTENTE DE PROJ,EMPRESA A,A08811,25,GO,Alto,1,"0,98","0,0","0,0","0,0","0,0","1,0","1,0","0,0"
TEC PLANEJA SR,EMPRESA A,A08647,25,MG,Baixo,1,"1,05","1,0","0,0","0,0","0,0","1,0","0,0","1,0"
PINTOR PREDIAL,EMPRESA A,A08550,25,MG,Alto,1,"1,08","1,0","0,0","0,0","0,0","0,0","0,0","3,0"
AUX ADM JR,EMPRESA A,A08556,25,TO,Alto,1,"1,08","0,0","0,0","0,0","0,0","1,0","0,0","0,0"
MEIO OFIC PEDREIRO,EMPRESA A,A08488,25,MG,Baixo,1,"1,11","1,0","0,0","0,0","0,0","0,0","0,0","1,0"
AUXILIAR DE ENGENHAR,EMPRESA A,A08424,25,MG,Alto,1,"1,12","1,0","0,0","0,0","0,0","0,0","1,0","1,0"
PROGRAMADOR MANUT PL,EMPRESA A,A08280,25,MT,Médio,1,"1,16","0,0","0,0","0,0","0,0","1,0","1,0","0,0"
MECANICO JR,EMPRESA A,A08227,25,MG,Médio,1,"1,19","1,0","0,0","0,0","0,0","1,0","1,0","2,0"
ANALISTAS ADM PROJETOS,EMPRESA A,A08219,25,SP,Alto,1,"1,19","0,0","0,0","0,0","0,0","1,0","1,0","1,0"
AUX JARDINAGEM,EMPRESA B,B06198,25,ES,Alto,1,"1,24","1,0","0,0","0,0","0,0","1,0","1,0","0,0"
TEC EM SEGURANCA JR,EMPRESA A,A07942,25,MG,Médio,1,"1,31","1,0","0,0","0,0","0,0","1,0","1,0","0,0"
ANALISTAS ADM PROJETOS,EMPRESA A,A07701,25,SP,Médio,1,"1,41","0,0","0,0","0,0","0,0","1,0","1,0","0,0"
SOLDADOR,EMPRESA A,A07662,25,MG,Alto,1,"1,42","1,0","0,0","0,0","0,0","1,0","1,0","2,0"
MECANICO JR,EMPRESA A,A07629,25,MG,Médio,1,"1,45","1,0","0,0","0,0","1,0","1,0","0,0","2,0"
MECANICO JR,EMPRESA A,A07014,25,GO,Alto,1,"1,69","0,0","0,0","1,0","1,0","1,0","1,0","0,0"
TEC EM SEGURANCA PL,EMPRESA A,A06919,25,SP,Médio,1,"1,74","0,0","0,0","0,0","0,0","1,0","1,0","1,0"
ASSISTENTE DE PLANEJ,EMPRESA A,A06881,25,MG,Alto,1,"1,77","0,0","0,0","0,0","0,0","1,0","1,0","2,0"
1/2 OFICIAL ELETRICA,EMPRESA A,A06798,25,MG,Alto,1,"1,8","1,0","0,0","0,0","0,0","1,0","1,0","0,0"
COORD OPERACIONAL,EMPRESA A,A06791,25,GO,Alto,1,"1,81","1,0","0,0","0,0","2,0","1,0","1,0","1,0"
TEC EM SEGURANCA PL,EMPRESA B,B05549,25,BA,Médio,1,"1,86","0,0","0,0","0,0","0,0","1,0","1,0","0,0"
ASSISTENTE COMERCIAL,EMPRESA A,A06588,25,SP,Alto,1,"1,91","0,0","0,0","0,0","2,0","1,0","0,0","1,0"
COMPRADOR SR,EMPRESA A,A06544,25,SP,Médio,1,"1,93","0,0","0,0","1,0","0,0","1,0","0,0","1,0"
AJUDANTE DE MECANICO,EMPRESA A,A06515,25,SP,Alto,1,"1,94","1,0","0,0","0,0","0,0","0,0","1,0","0,0"
MECANICO JR,EMPRESA A,A06180,25,MG,Médio,1,"2,17","1,0","0,0","0,0","0,0","1,0","0,0","4,0"
ANALISTASISTA ADM JR,EMPRESA A,A06004,25,MG,Médio,1,"2,25","0,0","0,0","0,0","0,0","1,0","1,0","2,0"
MECANICO PL,EMPRESA A,A05959,25,PE,Alto,1,"2,27","1,0","0,0","0,0","0,0","1,0","1,0","1,0"
COMPRADOR JR,EMPRESA A,A05925,25,SP,Baixo,1,"2,29","0,0","0,0","0,0","1,0","1,0","1,0","1,0"
LIDER DE MANUTENCAO,EMPRESA A,A05886,25,MT,Alto,1,"2,32","1,0","0,0","1,0","0,0","1,0","0,0","2,0"
AUX PLANEJAMENTO,EMPRESA A,A05691,25,GO,Alto,1,"2,43","0,0","0,0","1,0","0,0","1,0","1,0","1,0"
ASSIST ADM JR,EMPRESA A,A06310,25,MT,Alto,1,"2,43","1,0","0,0","0,0","0,0","1,0","1,0","2,0"
SUPERVISOR PROJ PL,EMPRESA A,A05538,25,SP,Alto,1,"2,52","0,0","0,0","0,0","0,0","1,0","1,0","0,0"
ENCARREGADO PL,EMPRESA A,A05339,25,MG,Médio,1,"2,61","1,0","0,0","0,0","1,0","1,0","0,0","4,0"
OPERADOR DE PRENSA.,EMPRESA B,B04666,25,SP,Alto,1,"2,94","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
PROGRAMADOR MANUT PL,EMPRESA A,A05988,25,SP,Médio,1,"2,98","1,0","0,0","0,0","1,0","0,0","1,0","1,0"
ANALISTASISTA ADM PL,EMPRESA A,A04502,25,MG,Alto,1,"3,03","0,0","0,0","0,0","0,0","1,0","1,0","3,0"
ANALISTAS ADM PROJETOS,EMPRESA A,A04464,25,SP,Alto,1,"3,08","0,0","0,0","0,0","0,0","1,0","1,0","2,0"
ANALISTAS. COMUNICACAO PL,EMPRESA A,A04298,25,MG,Alto,1,"3,26","0,0","0,0","0,0","0,0","1,0","1,0","2,0"
TEC. ELET. MANUT PL,EMPRESA A,A04287,25,MG,Alto,1,"3,26","0,0","0,0","0,0","0,0","1,0","1,0","2,0"
SUPERVISOR PLANEJAM.,EMPRESA A,A04142,25,MG,Baixo,1,"3,39","1,0","0,0","0,0","0,0","1,0","1,0","4,0"
COORD OPERACIONAL,EMPRESA A,A04126,25,SP,Alto,1,"3,4","0,0","0,0","0,0","2,0","1,0","1,0","5,0"
PROGRAMADOR MANUT PL,EMPRESA A,A03182,25,SP,Alto,1,"4,01","0,0","0,0","0,0","0,0","1,0","1,0","4,0"
INSPETOR DE MANUTENC,EMPRESA A,A02703,25,SP,Alto,1,"4,61","0,0","0,0","0,0","0,0","1,0","1,0","2,0"
SUPERVISOR PL,EMPRESA A,A02338,25,SP,Alto,1,"4,69","0,0","0,0","1,0","0,0","1,0","1,0","5,0"
ELETR. MANUTENCAO JR,EMPRESA A,A11574,25,SP,Alto,1,"0,01","0,0","1,0","0,0","0,0","0,0","0,0","0,0"
AJUDANTE DE MECANICO,EMPRESA C,C03964,25,SP,Alto,1,"0,11","0,0","1,0","0,0","1,0","0,0","0,0","0,0"
SOLDADOR PL,EMPRESA C,C03882,25,SP,Alto,1,"0,27","0,0","1,0","0,0","0,0","0,0","0,0","0,0"
MECANICO JR,EMPRESA A,A10535,25,GO,Alto,1,"0,36","1,0","1,0","0,0","1,0","1,0","1,0","0,0"
AJUDANTE DE MECANICO,EMPRESA C,C03832,25,MG,Alto,1,"0,38","0,0","1,0","0,0","0,0","0,0","0,0","1,0"
MECANICO JR,EMPRESA C,C03823,25,SP,Alto,1,"0,39","0,0","1,0","0,0","0,0","0,0","0,0","0,0"
ANALISTASIST  TREINAME JR,EMPRESA A,A09852,25,SP,Alto,1,"0,61","0,0","1,0","0,0","1,0","1,0","0,0","0,0"
SUPERVISOR,EMPRESA C,C03542,25,SP,Alto,1,"0,95","0,0","1,0","0,0","0,0","1,0","1,0","0,0"
MECANICO REFRIG PL,EMPRESA A,A07371,25,SP,Alto,1,"1,52","1,0","1,0","1,0","2,0","1,0","1,0","0,0"
ASSIST ADM PL,EMPRESA A,A07202,25,GO,Alto,1,"1,6","1,0","1,0","0,0","1,0","1,0","1,0","0,0"
JARDINEIRO,EMPRESA B,B05456,25,SP,Alto,1,"1,95","1,0","1,0","0,0","0,0","0,0","0,0","1,0"
AJUDANTE DE MECANICO,EMPRESA C,C02463,25,SP,Alto,1,"3,1","0,0","1,0","0,0","0,0","0,0","1,0","1,0"
PROGRAMADOR MANUT PL,EMPRESA A,A03268,25,SP,Médio,1,"3,93","1,0","1,0","1,0","0,0","1,0","1,0","1,0"
TELHADISTA II,EMPRESA C,C00882,25,SP,Alto,1,"4,61","0,0","1,0","0,0","1,0","0,0","0,0","1,0"
TEC EM SEGURANCA PL,EMPRESA A,A11632,26,SP,Alto,1,"-0,01","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
TECNICO REFRIGERACAO,EMPRESA A,A11511,26,MT,Alto,1,"0,03","0,0","0,0","0,0","0,0","1,0","1,0","0,0"
AUX SERV GERAIS,EMPRESA A,A11535,26,RJ,Alto,1,"0,03","0,0","0,0","0,0","1,0","0,0","0,0","0,0"
MECANICO JR,EMPRESA A,A11474,26,MG,Médio,1,"0,05","1,0","0,0","0,0","0,0","0,0","0,0","0,0"
ENCARREGADO,EMPRESA A,A11410,26,MG,Alto,1,"0,08","1,0","0,0","0,0","0,0","0,0","1,0","0,0"
AJUDANTE LIMPEZA,EMPRESA B,B07283,26,PR,Alto,1,"0,09","0,0","0,0","0,0","3,0","1,0","0,0","0,0"
MECANICO JR,EMPRESA A,A11281,26,MT,Alto,1,"0,12","0,0","0,0","0,0","1,0","1,0","1,0","0,0"
AUX ADM PL,EMPRESA A,A11285,26,MG,Alto,1,"0,13","1,0","0,0","0,0","1,0","1,0","1,0","0,0"
1/2 OF DE MANUTENCAO,EMPRESA A,A11260,26,SP,Alto,1,"0,14","0,0","0,0","0,0","0,0","1,0","0,0","0,0"
TECNICO MECANICA,EMPRESA A,A11258,26,SP,Alto,1,"0,14","0,0","0,0","0,0","1,0","1,0","0,0","0,0"
ELETR. MANUTENCAO JR,EMPRESA A,A11106,26,MG,Alto,1,"0,16","1,0","0,0","0,0","0,0","0,0","0,0","0,0"
ELET FORCA CONTROLE,EMPRESA A,A11190,26,SP,Baixo,1,"0,16","0,0","0,0","0,0","0,0","1,0","0,0","0,0"
ENCANADOR,EMPRESA A,A11143,26,SP,Alto,1,"0,16","0,0","0,0","0,0","0,0","1,0","1,0","0,0"
ISOLADOR MONTADOR,EMPRESA A,A11141,26,SP,Baixo,1,"0,16","0,0","0,0","0,0","1,0","1,0","0,0","0,0"
SUPERVISOR,EMPRESA A,A11121,26,SP,Alto,1,"0,16","1,0","0,0","0,0","0,0","1,0","0,0","0,0"
SUPERVISOR PROJ JR,EMPRESA A,A11068,26,MG,Médio,1,"0,18","0,0","0,0","0,0","0,0","1,0","1,0","0,0"
AJUDANTE DE MECANICO,EMPRESA A,A11052,26,SP,Alto,1,"0,18","1,0","0,0","0,0","0,0","0,0","1,0","0,0"
JARDINEIRO,EMPRESA B,B07190,26,TO,Alto,1,"0,19","0,0","0,0","0,0","0,0","0,0","1,0","0,0"
AUX SERV GERAIS,EMPRESA B,B07163,26,RJ,Alto,1,"0,21","0,0","0,0","0,0","2,0","1,0","1,0","0,0"
AUX SERV GERAIS,EMPRESA B,B07156,26,PE,Alto,1,"0,22","0,0","0,0","0,0","0,0","1,0","0,0","0,0"
ELETR. MANUTENCAO JR,EMPRESA A,A10933,26,RJ,Alto,1,"0,22","1,0","0,0","1,0","0,0","1,0","1,0","0,0"
ESPEC DE MANUTENCAO,EMPRESA A,A10926,26,SP,Alto,1,"0,22","0,0","0,0","0,0","1,0","1,0","0,0","0,0"
AUX ADM PL,EMPRESA A,A10884,26,MG,Alto,1,"0,24","1,0","0,0","0,0","0,0","0,0","1,0","0,0"
MECANICO JR,EMPRESA A,A10895,26,MG,Médio,1,"0,24","1,0","0,0","0,0","0,0","1,0","1,0","0,0"
COMPRADOR PL,EMPRESA A,A10911,26,SP,Médio,1,"0,24","0,0","0,0","0,0","0,0","1,0","1,0","0,0"
ANALISTASISTA FACILITIES,EMPRESA A,A10785,26,SP,Alto,1,"0,27","0,0","0,0","0,0","3,0","1,0","1,0","0,0"
AUX ADM PL,EMPRESA A,A10707,26,PR,Alto,1,"0,28","0,0","0,0","0,0","1,0","0,0","0,0","0,0"
SUPERVISOR PROJ SR,EMPRESA A,A10710,26,PR,Baixo,1,"0,28","0,0","0,0","0,0","0,0","0,0","1,0","0,0"
AJUDANTE LIMPEZA,EMPRESA B,B07102,26,SP,Alto,1,"0,28","0,0","0,0","1,0","3,0","0,0","0,0","0,0"
TEC REFRIGERACAO,EMPRESA A,A10583,26,MG,Médio,1,"0,32","0,0","0,0","0,0","0,0","1,0","1,0","1,0"
AJUDANTE LIMPEZA,EMPRESA B,B07067,26,SP,Alto,1,"0,33","0,0","0,0","0,0","2,0","1,0","0,0","0,0"
OP. EST. TRAT ESGOTO,EMPRESA A,A10567,26,RJ,Alto,1,"0,34","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
MECANICO AGRICOLA PL,EMPRESA A,A10489,26,BA,Alto,1,"0,35","0,0","0,0","0,0","1,0","1,0","0,0","0,0"
AJUDANTE LIMPEZA,EMPRESA B,B07032,26,ES,Alto,1,"0,36","0,0","0,0","0,0","3,0","1,0","1,0","0,0"
ASSIST ADM PL,EMPRESA A,A10486,26,RJ,Alto,1,"0,36","1,0","0,0","0,0","0,0","1,0","1,0","0,0"
JARDINEIRO,EMPRESA B,B07050,26,SP,Alto,1,"0,36","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
MONTADOR DE ANDAIME,EMPRESA A,A10469,26,MT,Alto,1,"0,37","0,0","0,0","0,0","1,0","0,0","0,0","0,0"
MECANICO JR,EMPRESA A,A10445,26,MG,Médio,1,"0,39","1,0","0,0","0,0","0,0","1,0","1,0","1,0"
MECANICO JR,EMPRESA A,A10362,26,MG,Médio,1,"0,41","1,0","0,0","0,0","1,0","1,0","1,0","1,0"
ASSIST ADM PL,EMPRESA A,A10331,26,RJ,Alto,1,"0,41","1,0","0,0","1,0","1,0","1,0","0,0","0,0"
AUX ADM JR,EMPRESA A,A10330,26,RJ,Alto,1,"0,41","1,0","0,0","0,0","0,0","0,0","0,0","0,0"
AUX SERV GERAIS,EMPRESA B,B06963,26,TO,Alto,1,"0,42","0,0","0,0","0,0","1,0","0,0","0,0","0,0"
ALMOXARIFE PL,EMPRESA A,A10321,26,MG,Alto,1,"0,43","0,0","0,0","0,0","0,0","1,0","1,0","0,0"
TEC EM SEGURANCA JR,EMPRESA A,A10266,26,MG,Médio,1,"0,45","1,0","0,0","0,0","2,0","1,0","1,0","0,0"
ALMOXARIFE,EMPRESA A,A10254,26,MS,Alto,1,"0,45","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
ANALISTAS ADM PROJETOS,EMPRESA A,A10241,26,SP,Médio,1,"0,45","0,0","0,0","0,0","0,0","1,0","1,0","0,0"
ANALISTAS ADM PROJETOS,EMPRESA A,A10164,26,SP,Médio,1,"0,48","0,0","0,0","0,0","0,0","1,0","1,0","0,0"
